index,level_0,Date,幣別,淨值(元),x1,x2,x3,x4,x5,5day+growth,5day-growth,BuyOrNot,5day_after,5day_before
0,5,2020-05-26,NTD,29.72,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.038021534320323104,0.018854988001371174,0,0.0,0
1,6,2020-05-22,NTD,29.43,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.036017669045191936,0.034810126582278424,0,0.0,0
2,7,2020-05-21,NTD,29.39,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.029942157196325245,0.043678977272727286,0,0.0,0
3,8,2020-05-20,NTD,29.6,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.018243243243243213,0.0548823948681398,0,0.0,0
4,9,2020-05-19,NTD,29.16,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.02640603566529491,0.03111739745403108,0,0.0,0
5,10,2020-05-18,NTD,29.17,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.018854988001371174,0.01921733053808528,0,0.0,0
6,11,2020-05-15,NTD,28.44,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.034810126582278424,-0.006636395389451545,1,0.0,0
7,12,2020-05-14,NTD,28.16,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.043678977272727286,-0.0031858407079645968,1,0.0,0
8,13,2020-05-13,NTD,28.06,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.0548823948681398,0.011900468806346855,1,1.0,0
9,14,2020-05-12,NTD,28.28,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.03111739745403108,0.02130733116648609,1,1.0,0
10,15,2020-05-11,NTD,28.62,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.01921733053808528,0.040727272727272765,1,1.0,0
11,16,2020-05-08,NTD,28.63,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,-0.006636395389451545,0.023596710761530217,1,1.0,0
12,17,2020-05-07,NTD,28.25,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,-0.0031858407079645968,0.0031960227272727223,1,1.0,0
13,18,2020-05-06,NTD,27.73,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.011900468806346855,0.002530730296456988,1,1.0,0
14,19,2020-05-05,NTD,27.69,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.02130733116648609,-0.004314994606256651,1,1.0,0
15,20,2020-05-04,NTD,27.5,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.040727272727272765,0.0007278020378456904,1,1.0,0
16,21,2020-04-30,NTD,27.97,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.023596710761530217,0.022669104204753106,1,1.0,0
17,22,2020-04-29,NTD,28.16,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.0031960227272727223,0.02661319722931099,1,1.0,0
18,23,2020-04-28,NTD,27.66,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.002530730296456988,0.027107315261789843,0,0.0,0
19,24,2020-04-27,NTD,27.81,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,-0.004314994606256651,0.005059631369714384,0,0.0,0
20,25,2020-04-24,NTD,27.48,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.0007278020378456904,-0.0129310344827586,1,0.0,1
21,26,2020-04-23,NTD,27.35,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.022669104204753106,0.003301540719002196,0,0.0,0
22,27,2020-04-22,NTD,27.43,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.02661319722931099,0.01856665428889714,0,0.0,0
23,28,2020-04-21,NTD,26.93,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.027107315261789843,-0.01822821728034998,1,0.0,1
24,29,2020-04-20,NTD,27.67,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.005059631369714384,0.04061677322301624,0,0.0,0
25,30,2020-04-17,NTD,27.84,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,-0.0129310344827586,0.046616541353383396,0,0.0,0
26,31,2020-04-16,NTD,27.26,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.003301540719002196,0.03768557289684058,0,0.0,0
27,32,2020-04-15,NTD,26.93,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.01856665428889714,0.047452353169972726,0,0.0,0
28,33,2020-04-14,NTD,27.43,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,-0.01822821728034998,0.07148437499999993,0,0.0,0
29,34,2020-04-13,NTD,26.59,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.04061677322301624,0.08177379983726614,0,0.0,0
30,35,2020-04-09,NTD,26.6,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.046616541353383396,0.04313725490196084,0,0.0,0
31,36,2020-04-08,NTD,26.27,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.03768557289684058,0.015069551777434334,0,0.0,0
32,37,2020-04-07,NTD,25.71,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.047452353169972726,0.011806375442739107,0,0.0,0
33,38,2020-04-06,NTD,25.6,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.07148437499999993,-0.023273559710034315,1,1.0,1
34,39,2020-04-01,NTD,24.58,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.08177379983726614,-0.026148969889064982,1,1.0,1
35,40,2020-03-31,NTD,25.5,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.04313725490196084,0.02781136638452242,1,1.0,0
36,41,2020-03-30,NTD,25.88,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.015069551777434334,0.13260393873085327,1,1.0,0
37,42,2020-03-27,NTD,25.41,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.011806375442739107,0.1019080659150044,1,1.0,0
38,43,2020-03-26,NTD,26.21,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,-0.023273559710034315,0.12008547008547019,1,1.0,0
39,44,2020-03-25,NTD,25.24,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,-0.026148969889064982,0.10122164048865605,1,1.0,0
40,45,2020-03-24,NTD,24.81,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.02781136638452242,0.04727733220768245,1,1.0,0
41,46,2020-03-23,NTD,22.85,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.13260393873085327,-0.00348887919755771,1,1.0,0
42,47,2020-03-20,NTD,23.06,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.1019080659150044,-0.07649179014817782,1,1.0,1
43,48,2020-03-19,NTD,23.4,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.12008547008547019,-0.013490725126475561,1,1.0,1
44,49,2020-03-18,NTD,22.92,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.10122164048865605,-0.1143740340030911,1,1.0,1
45,50,2020-03-17,NTD,23.69,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,0.04727733220768245,-0.11206896551724133,1,1.0,1
46,51,2020-03-16,NTD,22.93,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,-0.00348887919755771,-0.12078220858895701,1,1.0,1
47,52,2020-03-13,NTD,24.97,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,-0.07649179014817782,-0.09528985507246386,1,1.0,1
48,53,2020-03-12,NTD,23.72,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,-0.013490725126475561,-0.15496971856074104,1,1.0,1
49,54,2020-03-11,NTD,25.88,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,-0.1143740340030911,-0.09982608695652177,1,1.0,1
50,55,2020-03-10,NTD,26.68,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,-0.11206896551724133,-0.04918032786885242,1,1.0,1
51,56,2020-03-09,NTD,26.08,-4.6986413,-1.4476448,-4.7126555,20.986408,5.384891,-0.12078220858895701,-0.08555399719495095,1,1.0,1
